Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
788f1be0-ea6e-11ed-9aa9-54b20380cf4d,0.25,0.0,2.0,gat,top,78.31610044313146,cora,
4f752fec-ea6e-11ed-9aa9-54b20380cf4d,0.25,0.5,1.0,gcn,top,81.25553914327918,cora,
26818450-ea6e-11ed-9aa9-54b20380cf4d,1.0,0.25,0.1,gcn,top,81.86115214180208,cora,
f6602b93-ea6d-11ed-9aa9-54b20380cf4d,0.0,0.5,2.0,gat,top,80.8714918759232,cora,
c76f9be2-ea6d-11ed-9aa9-54b20380cf4d,0.25,0.1,0.1,gcn,top,78.75923190546528,cora,
bbbd87ba-ea6d-11ed-9aa9-54b20380cf4d,0.25,0.25,inf,gat,top,79.18759231905464,cora,
b0040d1a-ea6d-11ed-9aa9-54b20380cf4d,0.0,0.1,inf,gcn,top,81.71344165435747,cora,
871aef9c-ea6d-11ed-9aa9-54b20380cf4d,1.0,1.0,0.1,gat,top,79.40915805022158,cora,
5d9928f4-ea6d-11ed-9aa9-54b20380cf4d,1.0,0.25,2.0,gcn,top,81.65435745937961,cora,
30f5ed49-ea6d-11ed-9aa9-54b20380cf4d,0.0,0.25,1.0,gcn,top,80.75332348596751,cora,
0323cb43-ea6d-11ed-9aa9-54b20380cf4d,0.0,0.25,2.0,gcn,top,81.56573116691285,cora,
da3d4f12-ea6c-11ed-9aa9-54b20380cf4d,1.0,0.5,8.0,gcn,top,81.83161004431315,cora,
b44753bf-ea6c-11ed-9aa9-54b20380cf4d,0.25,1.0,1.0,sage,top,81.77252584933531,cora,
8eebbadc-ea6c-11ed-9aa9-54b20380cf4d,0.5,1.0,1.0,sage,top,81.77252584933531,cora,
831deab6-ea6c-11ed-9aa9-54b20380cf4d,0.75,0.0,inf,gcn,top,81.71344165435747,cora,
51dc58b6-ea6c-11ed-9aa9-54b20380cf4d,0.0,0.0,0.1,gcn,top,77.37075332348597,cora,
